master_id,canonical_id,chapter_no,chapter_title,section_no,section_title,source_entry_title,source_file,source_status,source_page_start,notes
YK-0045,YKC-0012,1,ヨガとヨガの実践について,1.2,ヨガの歴史と発展,ヨガの歴史と発展,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0046,YKC-0013,1,ヨガとヨガの実践について,1.2,ヨガの歴史と発展,ヨガの発展,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0049,YKC-0014,1,ヨガとヨガの実践について,1.2,ヨガの歴史と発展,ヨガの起源,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0055,YKC-0015,1,ヨガとヨガの実践について,1.2,ヨガの歴史と発展,ヴェーダの時代,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0059,YKC-0016,1,ヨガとヨガの実践について,1.2,ヨガの歴史と発展,古典時代のヨガ,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0060,YKC-0017,1,ヨガとヨガの実践について,1.2,ヨガの歴史と発展,古典時代以前のヨガ,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0061,YKC-0018,1,ヨガとヨガの実践について,1.2,ヨガの歴史と発展,古典時代以後のヨガ,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0038,YKC-0019,1,ヨガとヨガの実践について,1.3,ヨガ – 目的と誤解,ヨガについての誤解,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0047,YKC-0020,1,ヨガとヨガの実践について,1.3,ヨガ、その目的と誤解,ヨガ、その目的と誤解,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0047,YKC-0020,1,ヨガとヨガの実践について,1.3,ヨガ – 目的と誤解,ヨガ – 目的と誤解,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0001,YKC-0021,1,ヨガとヨガの実践について,1.4,ヴェーダの教え,アタルヴァ・ヴェーダ（atharvaveda 医学を扱う）,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0014,YKC-0022,1,ヨガとヨガの実践について,1.4,ヴェーダの教え,シルパ・ヴェーダ（śilpaveda、美術や建築）,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0054,YKC-0023,1,ヨガとヨガの実践について,1.4,ヴェーダの教え,ヴェーダの教え,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0006,YKC-0024,1,ヨガとヨガの実践について,1.5,ウパニシャッドの教え,ウパニシャッドの教え,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0007,YKC-0025,1,ヨガとヨガの実践について,1.5,ウパニシャッドの教え,ウパニシャッドの神,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0023,YKC-0026,1,ヨガとヨガの実践について,1.5,ウパニシャッドの教え,パンチャ・コーシャの理論,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0023,YKC-0026,1,ヨガとヨガの実践について,1.8,ヨガの原則とヨガの実践,パンチャ・コーシャ,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0023,YKC-0026,5,ウエルネスのためのヨガ：病気の予防と積極的な健康の促進,5.3,パンチャ・コーシャの概念,パンチャ・コーシャの概念,10.5ヨガ本第5章ウエルネスのためのヨガ＿チェック済.docx,checked,,
YK-0023,YKC-0026,5,ウエルネスのためのヨガ：病気の予防と積極的な健康の促進,5.3,パンチャ・コーシャの概念,パンチャ・コーシャ1,10.5ヨガ本第5章ウエルネスのためのヨガ＿チェック済.docx,checked,,
YK-0027,YKC-0027,1,ヨガとヨガの実践について,1.5,ウパニシャッドの教え,プラーナ*3,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0002,YKC-0028,1,ヨガとヨガの実践について,1.6,シャド・ダルシャナ,アーサナ（āsana）,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0002,YKC-0028,2,ハタ・ヨガの紹介,2.2,ハタ・ヨガのパランパラーの紹介,アーサナ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,possible_cross_chapter_duplicate
YK-0002,YKC-0028,3,パタンジャリの『ヨガ・スートラ』序説,3.8,アシュタンガ・ヨガ、その目的と意義と効果,アーサナ（座法）,10.5ヨガ本第3章パタンジャリの『ヨガ・スートラ』序説＿チェック済.docx,checked,,
YK-0002,YKC-0028,9,スーリヤ・ナマスカーラとアーサナ,9.3,アーサナ,アーサナ,10.5ヨガ本第9章スーリャナマスカーラとアーサナ直し中20171017 (修復済み).docx,review_required,,possible_cross_chapter_duplicate; practice_candidate_only; safety/adaptation review required before ai_teacher_practice; chapter9 source is review_required
YK-0011,YKC-0029,1,ヨガとヨガの実践について,1.6,シャド・ダルシャナ,サマディ（samādhi）,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0011,YKC-0029,2,ハタ・ヨガの紹介,2.2,ハタ・ヨガのパランパラーの紹介,サマディ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0011,YKC-0029,3,パタンジャリの『ヨガ・スートラ』序説,3.8,アシュタンガ・ヨガ、その目的と意義と効果,サマディ（精神の完全な静寂）,10.5ヨガ本第3章パタンジャリの『ヨガ・スートラ』序説＿チェック済.docx,checked,,
YK-0013,YKC-0030,1,ヨガとヨガの実践について,1.6,シャド・ダルシャナ,シャド・ダルシャナ,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0018,YKC-0031,1,ヨガとヨガの実践について,1.6,シャド・ダルシャナ,ディヤーナ（dhyāna）,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0018,YKC-0031,2,ハタ・ヨガの紹介,2.2,ハタ・ヨガのパランパラーの紹介,ディヤーナ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0018,YKC-0031,3,パタンジャリの『ヨガ・スートラ』序説,3.8,アシュタンガ・ヨガ、その目的と意義と効果,ディヤーナ（瞑想法）,10.5ヨガ本第3章パタンジャリの『ヨガ・スートラ』序説＿チェック済.docx,checked,,
YK-0020,YKC-0032,1,ヨガとヨガの実践について,1.6,シャド・ダルシャナ,ニヤマ （niyama）,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0020,YKC-0032,3,パタンジャリの『ヨガ・スートラ』序説,3.8,アシュタンガ・ヨガ、その目的と意義と効果,ニヤマ（勧戒、日課）,10.5ヨガ本第3章パタンジャリの『ヨガ・スートラ』序説＿チェック済.docx,checked,,
YK-0020,YKC-0032,3,パタンジャリの『ヨガ・スートラ』序説,3.8,アシュタンガ・ヨガ、その目的と意義と効果,ニヤマ 順守,10.5ヨガ本第3章パタンジャリの『ヨガ・スートラ』序説＿チェック済.docx,checked,,
YK-0026,YKC-0033,1,ヨガとヨガの実践について,1.6,シャド・ダルシャナ,プラクリティは、サットヴァ・グナ（sattva guṇa）、ラジョーグナまたは,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0029,YKC-0034,1,ヨガとヨガの実践について,1.6,シャド・ダルシャナ,プラーナーヤーマ（prāṇāyāma）,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0029,YKC-0034,2,ハタ・ヨガの紹介,2.2,ハタ・ヨガのパランパラーの紹介,プラーナーヤーマ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0035,YKC-0035,1,ヨガとヨガの実践について,1.6,シャド・ダルシャナ,ヤマ（yama）,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0035,YKC-0035,3,パタンジャリの『ヨガ・スートラ』序説,3.8,アシュタンガ・ヨガ、その目的と意義と効果,ヤマ 抑制,10.5ヨガ本第3章パタンジャリの『ヨガ・スートラ』序説＿チェック済.docx,checked,,
YK-0035,YKC-0035,5,ウエルネスのためのヨガ：病気の予防と積極的な健康の促進,5.6,健康な生活のためのヨガの原則,ヤマ：社会的な関係を支配する規則3,10.5ヨガ本第5章ウエルネスのためのヨガ＿チェック済.docx,checked,,
YK-0037,YKC-0036,1,ヨガとヨガの実践について,1.6,シャド・ダルシャナ,ヨガ 開祖はマハリシ・パタンジャリ,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0057,YKC-0037,1,ヨガとヨガの実践について,1.6,シャド・ダルシャナ,ヴェーダーンタまたはウッタラ・ミーマーンサー,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0004,YKC-0038,1,ヨガとヨガの実践について,1.7,様々なヨガの道,アートマ・ニヴェーダナム（ātma nivedanam 自己の奉納）,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0008,YKC-0039,1,ヨガとヨガの実践について,1.7,様々なヨガの道,カルマ,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,possible_cross_chapter_duplicate
YK-0008,YKC-0039,2,ハタ・ヨガの紹介,2.13,『バガヴァッド・ギーター』,カルマ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,possible_cross_chapter_duplicate
YK-0009,YKC-0040,1,ヨガとヨガの実践について,1.7,様々なヨガの道,カルマ・シッダーンタ、カルマの教義,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0010,YKC-0041,1,ヨガとヨガの実践について,1.7,様々なヨガの道,カルマ・ヨガ,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,possible_cross_chapter_duplicate
YK-0010,YKC-0041,2,ハタ・ヨガの紹介,2.13,『バガヴァッド・ギーター』,カルマ・ヨガ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,possible_cross_chapter_duplicate
YK-0015,YKC-0042,1,ヨガとヨガの実践について,1.7,様々なヨガの道,ジュニャーナ・ヨガ,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,possible_cross_chapter_duplicate
YK-0015,YKC-0042,2,ハタ・ヨガの紹介,2.13,『バガヴァッド・ギーター』,ジュニャーナ・ヨガ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,possible_cross_chapter_duplicate
YK-0016,YKC-0043,1,ヨガとヨガの実践について,1.7,様々なヨガの道,ジュニャーナ・ヨガの実践の諸段階,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0019,YKC-0044,1,ヨガとヨガの実践について,1.7,様々なヨガの道,ナヴァヴィダ・バクティ,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0021,YKC-0045,1,ヨガとヨガの実践について,1.7,様々なヨガの道,ハタ・ヨガ,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0022,YKC-0046,1,ヨガとヨガの実践について,1.7,様々なヨガの道,バクティ・ヨガ,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,possible_cross_chapter_duplicate
YK-0022,YKC-0046,2,ハタ・ヨガの紹介,2.13,『バガヴァッド・ギーター』,バクティ・ヨガ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,possible_cross_chapter_duplicate
YK-0033,YKC-0047,1,ヨガとヨガの実践について,1.7,様々なヨガの道,マントラ・ジャパ バクティ・ヨガにおけるマントラの詠唱*6,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0034,YKC-0048,1,ヨガとヨガの実践について,1.7,様々なヨガの道,マントラ・ヨガ,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0043,YKC-0049,1,ヨガとヨガの実践について,1.7,ヨガの様々な道,ヨガの様々な道,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0043,YKC-0049,1,ヨガとヨガの実践について,1.7,様々なヨガの道,様々なヨガの道,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0053,YKC-0050,1,ヨガとヨガの実践について,1.7,様々なヨガの道,ラージャ・ヨガ,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0056,YKC-0051,1,ヨガとヨガの実践について,1.7,様々なヨガの道,ヴェーダーンタの学生すなわち「実在」の探求者の資格,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0062,YKC-0052,1,ヨガとヨガの実践について,1.7,様々なヨガの道,有徳で縁起のよいシュクラ・カルマ（śukra karma 白いカルマ）,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0005,YKC-0053,1,ヨガとヨガの実践について,1.8,ヨガの原則とヨガの実践,アーナンダマヤ・コーシャ（ānandamaya kośa）、至福からなる体,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0012,YKC-0054,1,ヨガとヨガの実践について,1.8,ヨガの原則とヨガの実践,シャッド・チャクラ,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0017,YKC-0055,1,ヨガとヨガの実践について,1.8,ヨガの原則とヨガの実践,チャクラの位置,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0024,YKC-0056,1,ヨガとヨガの実践について,1.8,ヨガの原則とヨガの実践,パンチャ・ブータ*8,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0025,YKC-0057,1,ヨガとヨガの実践について,1.8,ヨガの原則とヨガの実践,パンチャ・プラーナ,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0031,YKC-0058,1,ヨガとヨガの実践について,1.8,ヨガの原則とヨガの実践,プラーナ（prāṇa）,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0028,YKC-0059,1,ヨガとヨガの実践について,1.8,ヨガの原則とヨガの実践,プラーナマヤ・コーシャ（prāṇamaya kośa）、エネルギーの体,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0032,YKC-0060,1,ヨガとヨガの実践について,1.8,ヨガの原則とヨガの実践,マノーマヤ・コーシャ（manomaya kośa）、心からなる体,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0039,YKC-0061,1,ヨガとヨガの実践について,1.8,ヨガの原則とヨガの実践,ヨガの原則とヨガの実践,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0058,YKC-0062,1,ヨガとヨガの実践について,1.8,ヨガの原則とヨガの実践,主なチャクラ,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0063,YKC-0063,1,ヨガとヨガの実践について,1.9,著名なグルやヨギーたちの教え,著名なグルやヨギーたちの教え,10.5ヨガ本第1章ヨガとヨガの実践について＿チェック済.docx,checked,,
YK-0090,YKC-0064,2,ハタ・ヨガの紹介,2.1,ハタ・ヨガの紹介,ハタ・ヨガの科学,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0091,YKC-0065,2,ハタ・ヨガの紹介,2.1,ハタ・ヨガの紹介,ハタ・ヨガの紹介,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0064,YKC-0066,2,ハタ・ヨガの紹介,2.10,『ハタ・ヨガ・プラディーピカー』のアーサナ、その目的と効用,『ハタ・ヨガ・プラディーピカー』のアーサナ、その目的と効用,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0100,YKC-0067,2,ハタ・ヨガの紹介,2.10,『ハタ・ヨガ・プラディーピカー』のアーサナ、その目的と効用,ヨガによる体の変化,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0066,YKC-0068,2,ハタ・ヨガの紹介,2.11,『ハタ・ヨガ・プラディーピカー』のプラーナーヤーマ,『ハタ・ヨガ・プラディーピカー』のプラーナーヤーマ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0065,YKC-0069,2,ハタ・ヨガの紹介,2.12,『ハタ・ヨガ・プラディーピカー』のバンダ、ムドラー、ナーダーヌサンダーナ,『ハタ・ヨガ・プラディーピカー』のバンダ、ムドラー、ナーダーヌサンダーナ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0098,YKC-0070,2,ハタ・ヨガの紹介,2.12,『ハタ・ヨガ・プラディーピカー』のバンダ、ムドラー、ナーダーヌサンダーナ,ムドラーとバンダ14,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0110,YKC-0071,2,ハタ・ヨガの紹介,2.12,『ハタ・ヨガ・プラディーピカー』のバンダ、ムドラー、ナーダーヌサンダーナ,瞑想,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0067,YKC-0072,2,ハタ・ヨガの紹介,2.13,『バガヴァッド・ギーター』,『バガヴァッド・ギーター』,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0068,YKC-0073,2,ハタ・ヨガの紹介,2.13,『バガヴァッド・ギーター』,『バガヴァッド・ギーター』によるヨガの三つの流れ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0093,YKC-0074,2,ハタ・ヨガの紹介,2.13,『バガヴァッド・ギーター』,バクティ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0076,YKC-0075,2,ハタ・ヨガの紹介,2.2,ハタ・ヨガのパランパラーの紹介,シャット・カルマ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0076,YKC-0075,2,ハタ・ヨガの紹介,2.9,シャット・クリヤー、その目的と効果,シャット・カルマ（ṣatkarma 六つの行法）,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0087,YKC-0076,2,ハタ・ヨガの紹介,2.2,ハタ・ヨガのパランパラーの紹介,ハタ・ヨガのシステム3,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0089,YKC-0077,2,ハタ・ヨガの紹介,2.2,ハタ・ヨガのパランパラーの紹介,ハタ・ヨガの理論1,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0092,YKC-0078,2,ハタ・ヨガの紹介,2.2,ハタ・ヨガ・パランパラーの紹介,ハタ・ヨガ・パランパラーの紹介,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0092,YKC-0078,2,ハタ・ヨガの紹介,2.2,ハタ・ヨガのパランパラーの紹介,ハタ・ヨガのパランパラーの紹介,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0097,YKC-0079,2,ハタ・ヨガの紹介,2.2,ハタ・ヨガのパランパラーの紹介,ムドラー,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0070,YKC-0080,2,ハタ・ヨガの紹介,2.3,アーサナと運動の違い,アーサナと運動の違い,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0088,YKC-0081,2,ハタ・ヨガの紹介,2.4,ハタ・ヨガの教典の紹介,ハタ・ヨガの教典の紹介,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0085,YKC-0082,2,ハタ・ヨガの紹介,2.4,ハタ・ヨガの教典の紹介,ハタラトナヴァリー,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0073,YKC-0083,2,ハタ・ヨガの紹介,2.5,ヨガ的な食事の概念,サットヴァ・グナ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,possible_cross_chapter_duplicate
YK-0073,YKC-0083,4,人体解剖学と生理学、ヨガと健康,4.9,心理学,サットヴァ・グナ,10.5ヨガ本第4章人体解剖学と生理学、ヨガと健康＿チェック済.docx,checked,,possible_cross_chapter_duplicate
YK-0081,YKC-0084,2,ハタ・ヨガの紹介,2.5,ヨガ的な食事の概念,タマス・グナ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,possible_cross_chapter_duplicate
YK-0081,YKC-0084,4,人体解剖学と生理学、ヨガと健康,4.9,心理学,タマス・グナ,10.5ヨガ本第4章人体解剖学と生理学、ヨガと健康＿チェック済.docx,checked,,possible_cross_chapter_duplicate
YK-0083,YKC-0085,2,ハタ・ヨガの紹介,2.5,ヨガ的な食事の概念,トリグナの理論と人格心理学,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0083,YKC-0085,5,ウエルネスのためのヨガ：病気の予防と積極的な健康の促進,5.4,トリグナの概念,トリグナの概念,10.5ヨガ本第5章ウエルネスのためのヨガ＿チェック済.docx,checked,,
YK-0084,YKC-0086,2,ハタ・ヨガの紹介,2.5,ヨガ的な食事の概念,ニヤマグラハ（niyamagraha）,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0084,YKC-0086,2,ハタ・ヨガの紹介,2.6,ハタ・ヨガ、その成功と失敗,ニヤマグラハ（niyamāgraha規則への固執）,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0095,YKC-0087,2,ハタ・ヨガの紹介,2.5,ヨガ的な食事の概念,マディヤマ・アディカーリン（madhyama adhikārin）,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0101,YKC-0088,2,ハタ・ヨガの紹介,2.5,ヨガ的な食事の概念,ヨガの進歩を促す六つの要因,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0102,YKC-0089,2,ハタ・ヨガの紹介,2.5,ヨガ的な食事の概念,ヨガの進歩を妨げる六つの要因,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0104,YKC-0090,2,ハタ・ヨガの紹介,2.5,ヨガ的な食事の概念,ヨガの食事,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0105,YKC-0091,2,ハタ・ヨガの紹介,2.5,ヨガ的な食事の概念,ヨガ修行者のタイプ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0106,YKC-0092,2,ハタ・ヨガの紹介,2.5,ヨガ的な食事の概念,ヨガ的な食事と三つのグナ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0107,YKC-0093,2,ハタ・ヨガの紹介,2.5,ヨガ的な食事の概念,ヨガ的な食事の概念,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0108,YKC-0094,2,ハタ・ヨガの紹介,2.5,ヨガ的な食事の概念,ラジャス・グナ,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,possible_cross_chapter_duplicate
YK-0108,YKC-0094,4,人体解剖学と生理学、ヨガと健康,4.9,心理学,ラジャス・グナ,10.5ヨガ本第4章人体解剖学と生理学、ヨガと健康＿チェック済.docx,checked,,possible_cross_chapter_duplicate
YK-0111,YKC-0095,2,ハタ・ヨガの紹介,2.5,ヨガ的な食事の概念,菜食のための精神的・心理的な理由,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0112,YKC-0096,2,ハタ・ヨガの紹介,2.5,ヨガ的な食事の概念,食事に適切な時間,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0113,YKC-0097,2,ハタ・ヨガの紹介,2.5,ヨガ的な食事の概念,食事の見栄え,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0075,YKC-0098,2,ハタ・ヨガの紹介,2.6,ハタ・ヨガ、その成功と失敗,サーダナにおける失敗の原因（ヨガ・ダルシャナによる）9,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0080,YKC-0099,2,ハタ・ヨガの紹介,2.6,ハタ・ヨガ、その成功と失敗,タットヴァ・ジュニャーナ（tattvajñāna 識別的知識）,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
YK-0086,YKC-0100,2,ハタ・ヨガの紹介,2.6,ハタ・ヨガ、その成功と失敗,ハタ・ヨガ、その成功と失敗,10.5ヨガ本第2章ハタ・ヨガの紹介 ＿チェック済.docx,checked,,
